Date,124270,124300,126610LN,126710BLRO,124270 Listings,124300 Listings,126610LN Listings,126710BLRO Listings,124270 Markup,124300 Markup,126610LN Markup,126710BLRO Markup,124060,126610LV,126710BLNR,226570,124060 Listings,126610LV Listings,126710BLNR Listings,226570 Listings,124060 Markup,126710BLNR Markup,226570 Markup,126610LV Markup,116500LN,116500LN Listings,116500LN Markup,126711CHNR,126711CHNR Listings,126711CHNR Markup
7/23/2021,11343.5,12664,16271,23687,86,411,219,231,75.86821705,114.6440678,77.82513661,149.3368421,,,,,,,,,,,,,,,,,,
7/30/2021,11426,12849,16417,23994.5,93,411,222,232,77.14728682,117.779661,79.42076503,152.5736842,,,,,,,,,,,,,,,,,,
8/6/2021,11350,13106,16397,24000,101,425,205,238,75.96899225,122.1355932,79.20218579,152.6315789,,,,,,,,,,,,,,,,,,
8/13/2021,11164,13115,16244,23999,103,414,199,230,73.08527132,122.2881356,77.53005464,152.6210526,,,,,,,,,,,,,,,,,,
8/20/2021,10969,13135,16184,23965,105,415,190,228,70.0620155,122.6271186,76.87431694,152.2631579,,,,,,,,,,,,,,,,,,
8/27/2021,10966,13203.5,16283,24110,110,414,183,230,70.01550388,123.7881356,77.95628415,153.7894737,,,,,,,,,,,,,,,,,,
9/3/2021,10982,13235,16506,24224,116,413,174,235,70.26356589,124.3220339,80.39344262,154.9894737,,,,,,,,,,,,,,,,,,
9/10/2021,11017,13565.5,16584,24250,120,418,192,246,70.80620155,129.9237288,81.24590164,155.2631579,,,,,,,,,,,,,,,,,,
9/24/2021,10987,13845,16457,24528,132,455,177,236,70.34108527,134.6610169,79.8579235,158.1894737,,,,,,,,,,,,,,,,,,
10/1/2021,10879,13674,16408,24374,131,455,187,241,68.66666667,131.7627119,79.32240437,156.5684211,,,,,,,,,,,,,,,,,,
10/8/2021,10785.5,13629,16473,24295,136,453,185,234,67.21705426,131,80.03278689,155.7368421,,,,,,,,,,,,,,,,,,
10/22/2021,10821,13900,16699.5,24782,136,479,174,243,67.76744186,135.5932203,82.50819672,160.8631579,,,,,,,,,,,,,,,,,,
10/29/2021,10917,14022,16749,24950,139,469,182,236,69.25581395,137.6610169,83.04918033,162.6315789,,,,,,,,,,,,,,,,,,
11/5/2021,10952.5,13862,16842,24999.5,156,493,183,238,69.80620155,134.9491525,84.06557377,163.1526316,,,,,,,,,,,,,,,,,,
11/12/2021,10885,13911.5,16822,25020,159,498,181,245,68.75968992,135.7881356,83.84699454,163.3684211,15036.5,21500,21285,14096,162,187,275,175,85.63580247,124.0526316,64.86549708,125.1308901,,,,,,
11/19/2021,10878.5,13901.5,16861.5,24950,146,498,204,227,68.65891473,135.6186441,84.27868852,162.6315789,14903,21494,21372,14010,170,190,274,165,83.98765432,124.9684211,63.85964912,125.0680628,,,,,,
11/26/2021,10788,13689,16864.5,24995,162,507,198,211,67.25581395,132.0169492,84.31147541,163.1052632,14943,21500,21282,14001,157,192,283,172,84.48148148,124.0210526,63.75438596,125.1308901,,,,,,
12/3/2021,10910,13991.5,17035.5,25237.5,158,484,190,214,69.14728682,137.1440678,86.18032787,165.6578947,15103,21705,21631,14280.5,152,180,264,168,86.45679012,127.6947368,67.02339181,127.2774869,,,,,,
12/10/2021,10883,13950.5,17096,25513,152,482,194,216,68.72868217,136.4491525,86.84153005,168.5578947,15119,21877,21628,14242,149,178,274,154,86.65432099,127.6631579,66.57309942,129.078534,,,,,,
12/17/2021,10849.5,13362,17197,26000,166,416,202,215,68.20930233,126.4745763,87.94535519,173.6842105,15271,21946,21961,14319,146,170,277,164,88.5308642,131.1684211,67.47368421,129.8010471,,,,,,
12/24/2021,10899,13332,17203,26144,167,344,199,213,68.97674419,125.9661017,88.01092896,175.2,15412.5,22019,22015,14452,148,170,269,163,90.27777778,131.7368421,69.02923977,130.565445,,,,,,
12/31/2021,10975,13992,17302,26550,155,282,187,193,70.15503876,137.1525424,89.09289617,179.4736842,15500,22596,22358,14678.5,130,155,252,148,91.35802469,135.3473684,71.67836257,136.6073298,,,,,,
1/7/2022,11049,15462,17716.5,27759,150,278,170,179,53.45833333,151.4146341,75.41089109,158.2232558,15657,23187,22975,14795,119,146,229,151,74.93854749,113.7209302,55.73684211,118.745283,,,,,,
1/14/2022,11185.5,21712,18411.5,29513.5,148,303,170,154,55.35416667,253.0406504,82.29207921,174.544186,16632.5,25256,24975,15132,114,136,205,150,85.83798883,132.3255814,59.28421053,138.2641509,,,,,,
1/21/2022,11153.5,22313,18885,30873.5,140,316,165,140,54.90972222,262.8130081,86.98019802,187.1953488,16964,25950,25950,15229,109,117,186,136,89.54189944,141.3953488,60.30526316,144.8113208,,,,,,
1/28/2022,11123,22420,19000,32230,126,337,179,137,54.48611111,264.5528455,88.11881188,199.8139535,17153,26710,26574,15303.5,115,123,201,130,91.65363128,147.2,61.08947368,151.9811321,,,,,,
2/4/2022,11133,22237,19579,33000,130,346,176,135,54.625,261.5772358,93.85148515,206.9767442,17477,27474,27570,15878.5,109,133,189,118,95.27374302,156.4651163,67.14210526,159.1886792,52077,163,257.9175258,,,
2/11/2022,11482,22268,19902,34595,129,361,170,145,59.47222222,262.0813008,97.04950495,221.8139535,17881,27790,27895,15829,118,143,206,120,99.7877095,159.4883721,66.62105263,162.1698113,53688.5,172,268.9931271,,,
2/18/2022,11497.5,22135.5,20269.5,34951,126,406,182,169,59.6875,259.9268293,100.6881188,225.1255814,17942,28402,28332.5,16025,128,158,230,113,100.4692737,163.5581395,68.68421053,167.9433962,54775,195,276.4604811,,,
2/25/2022,11319,21997.5,20024,34452,138,438,185,193,57.20833333,257.6829268,98.25742574,220.4837209,17735,28371,28262,16019,127,161,260,111,98.15642458,162.9023256,68.62105263,167.6509434,54916,184,277.4295533,,,
3/4/2022,11296,21657,20208,34806,133,447,207,199,56.88888889,252.1463415,100.0792079,223.7767442,17995,28352.5,28398,16385,135,162,277,102,101.0614525,164.1674419,72.47368421,167.4764151,55062,183,278.4329897,,,
3/11/2022,11190.5,21500,20043,34468,136,495,216,221,55.42361111,249.5934959,98.44554455,220.6325581,17951,28344,28722.5,16351,136,169,296,115,100.5698324,167.1860465,72.11578947,167.3962264,55000,219,278.0068729,,,
3/18/2022,11209,21409,20005,34518.5,133,519,219,232,55.68055556,248.1138211,98.06930693,221.1023256,17900,28202.5,28495,15986,149,186,312,106,100,165.0697674,68.27368421,166.0613208,54547.5,228,274.8969072,,,
3/25/2022,11146,20838.5,20005,34180.5,125,518,248,268,54.80555556,238.8373984,98.06930693,217.9581395,17900,27894,28451,15985,159,209,324,115,100,164.6604651,68.26315789,163.1509434,54500,237,274.5704467,,,
4/1/2022,11250,19000,20139,34136,121,344,252,273,56.25,208.9430894,99.3960396,217.544186,17999,28200,28731,16000,161,213,331,119,101.1061453,167.2651163,68.42105263,166.0377358,55436,257,281.0034364,,,
4/8/2022,11141.5,19916,19999.5,33564,120,408,252,296,54.74305556,223.8373984,98.01485149,212.2232558,17936,27938.5,27972,15994.5,155,220,350,120,100.4022346,160.2046512,68.36315789,163.5707547,53707,294,269.1202749,,,
4/15/2022,11139,19679.5,19842,33444,111,442,264,309,54.70833333,219.9918699,96.45544554,211.1069767,17850,27809,27819,16147,151,229,378,122,99.44134078,158.7813953,69.96842105,162.3490566,53594,321,268.3436426,,,
4/22/2022,11125.5,19529,19707,33296,108,462,267,329,54.52083333,217.5447154,95.11881188,209.7302326,17844,27340,27727,15992.5,157,239,384,122,99.37430168,157.9255814,68.34210526,157.9245283,53164,334,265.3883162,,,
4/29/2022,10978,19433,19363,32277,111,492,295,344,52.47222222,215.9837398,91.71287129,200.2511628,17356,26902,27000,15729,174,263,393,131,93.92178771,151.1627907,65.56842105,153.7924528,51794,354,255.9725086,,,
5/6/2022,11000,19771,19000,31848,107,514,309,362,52.77777778,221.4796748,88.11881188,196.2604651,16986,26771,26864,15622,198,275,402,141,89.7877095,149.8976744,64.44210526,152.5566038,50953,384,250.1924399,,,
5/13/2022,10705.5,19000,18735.5,31177.5,116,547,318,372,48.6875,208.9430894,85.5,190.0232558,16780,26137,26190,15399,198,288,408,149,87.48603352,143.627907,62.09473684,146.5754717,49968,393,243.4226804,,,
5/20/2022,10777,18717,18868,30760.5,117,562,328,388,49.68055556,204.3414634,86.81188119,186.144186,16803.5,25943,26076,15381,210,294,424,155,87.74860335,142.5674419,61.90526316,144.745283,49000,423,236.7697595,,,
5/27/2022,10867.5,18859,18930,30700,114,566,331,385,50.9375,206.6504065,87.42574257,185.5813953,16885,25967,26205,15350,207,306,415,167,88.65921788,143.7674419,61.57894737,144.9716981,48619.5,420,234.1546392,,,
